Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_059183.1	165770	167614	LG2	plus	uncharacterized protein LOC116915560	LOC116915560	116915560	protein-coding	XM_045169371.1	XP_045025306.1	169	
NC_059183.1	167872	168613	LG2	minus	uncharacterized LOC116915546	LOC116915546	116915546	lncRNA	XR_004390055.2			
NC_059183.1	170569	171842	LG2	minus	uncharacterized LOC116915573, transcript variant X2	LOC116915573	116915573	lncRNA	XR_004390140.2			
NC_059183.1	172476	202755	LG2	minus	uncharacterized protein LOC116915328	LOC116915328	116915328	protein-coding	XM_032920407.2	XP_032776298.2	3985	
NC_059183.1	204035	209868	LG2	minus	LOW QUALITY PROTEIN: lysyl oxidase homolog 2	LOC116915379	116915379	protein-coding	XM_045169375.1	XP_045025310.1	565	
NC_059183.1	212797	216880	LG2	minus	DNA-directed RNA polymerase II subunit RPB2	LOC116915353	116915353	protein-coding	XM_032920451.2	XP_032776342.1	1174	
NC_059183.1	217006	218934	LG2	minus	boophilin-H2	LOC116915532	116915532	protein-coding	XM_045169378.1	XP_045025313.1	181	
NC_059183.1	219510	219933	LG2	minus	boophilin-H2	LOC116915535	116915535	protein-coding	XM_032920695.2	XP_032776586.2	112	
NC_059183.1	222009	225079	LG2	plus	uncharacterized LOC116915582	LOC116915582	116915582	lncRNA	XR_006643270.1			
NC_059183.1	224958	226948	LG2	minus	cilia- and flagella-associated protein 157	LOC116915412	116915412	protein-coding	XM_045169376.1	XP_045025311.1	426	
NC_059183.1	227053	236946	LG2	minus	ral GTPase-activating protein subunit alpha-1	LOC116915335	116915335	protein-coding	XM_045169377.1	XP_045025312.1	1935	
NC_059183.1	237596	241896	LG2	plus	apoptosis-resistant E3 ubiquitin protein ligase 1	LOC116915364	116915364	protein-coding	XM_032920465.2	XP_032776356.2	926	
NC_059183.1	241876	243301	LG2	minus	uncharacterized protein LOC116915511	LOC116915511	116915511	protein-coding	XM_032920670.2	XP_032776561.1	132	
NC_059183.1	244003	244586	LG2	plus	E3 ubiquitin-protein ligase RNF182	LOC116915509	116915509	protein-coding	XM_032920667.2	XP_032776558.1	136	
NC_059183.1	246109	248882	LG2	plus	probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial	LOC116915391	116915391	protein-coding	XM_032920508.2	XP_032776399.1	525	
NC_059183.1	250382	256782	LG2	minus	LOW QUALITY PROTEIN: mucin-5AC	LOC116915347	116915347	protein-coding	XM_032920445.2	XP_032776336.2	1454	
NC_059183.1	259659	265956	LG2	minus	LOW QUALITY PROTEIN: mucin-17	LOC116915342	116915342	protein-coding	XM_032920434.2	XP_032776325.2	1750	
NC_059183.1	267830	268741	LG2	minus	uncharacterized protein PB18E9.04c	LOC116915437	116915437	protein-coding	XM_032920578.2	XP_032776469.2	303	
NC_059183.1	268921	279433	LG2	minus	LOW QUALITY PROTEIN: nuclear pore complex protein DDB_G0274915	LOC116915343	116915343	protein-coding	XM_032920435.2	XP_032776326.2	1596	
NC_059183.1	285811	288538	LG2	minus	uncharacterized protein LOC123469806 isoform X1	LOC123469806	123469806	protein-coding	XM_045169134.1	XP_045025069.1	397	
NC_059183.1	295905	296862	LG2	minus	pupal cuticle protein Edg-78E	LOC116915479	116915479	protein-coding	XM_032920638.2	XP_032776529.2	182	
NC_059183.1	297384	298328	LG2	plus	endocuticle structural glycoprotein SgAbd-1	LOC116915458	116915458	protein-coding	XM_032920608.2	XP_032776499.2	194	
NC_059183.1	303844	305351	LG2	minus	uncharacterized protein LOC123470242	LOC123470242	123470242	protein-coding	XM_045170307.1	XP_045026242.1	337	
NC_059183.1	321175	333568	LG2	minus	uncharacterized protein LOC116915344	LOC116915344	116915344	protein-coding	XM_032920439.2	XP_032776330.2	1587	
NC_059183.1	339450	342611	LG2	minus	glutamate receptor ionotropic, delta-1 isoform X1	LOC116915407	116915407	protein-coding	XM_032920525.2	XP_032776416.2	446	
NC_059183.1	343021	344541	LG2	plus	actinia tenebrosa protease inhibitors-like	LOC123470166	123470166	protein-coding	XM_045170027.1	XP_045025962.1	360	
NC_059183.1	345477	346579	LG2	plus	BPTI/Kunitz domain-containing protein	LOC116915490	116915490	protein-coding	XM_032920648.2	XP_032776539.2	170	
NC_059183.1	347274	348051	LG2	minus	uncharacterized LOC123470171	LOC123470171	123470171	lncRNA	XR_006643746.1			
NC_059183.1	348163	353988	LG2	plus	uncharacterized gene	LOC123470169	123470169	pseudogene				
NC_059183.1	356637	358729	LG2	plus	uncharacterized gene	LOC123470243	123470243	pseudogene				
NC_059183.1	363960	365724	LG2	minus	uncharacterized gene	LOC123470244	123470244	pseudogene				
NC_059183.1	371378	376081	LG2	minus	uncharacterized gene	LOC123470245	123470245	pseudogene				
NC_059183.1	378059	389667	LG2	minus	uncharacterized gene	LOC123470246	123470246	pseudogene				
NC_059183.1	396052	398702	LG2	minus	uncharacterized protein LOC116915415 isoform X1	LOC116915415	116915415	protein-coding	XM_032920539.2	XP_032776430.2	396	
NC_059183.1	406227	407159	LG2	minus	pupal cuticle protein Edg-78E-like	LOC123470168	123470168	protein-coding	XM_045170030.1	XP_045025965.1	182	
NC_059183.1	407758	408651	LG2	plus	endocuticle structural glycoprotein SgAbd-1-like	LOC123470167	123470167	protein-coding	XM_045170029.1	XP_045025964.1	194	
NC_059183.1	409388	410369	LG2	plus	uncharacterized LOC123470170, transcript variant X4	LOC123470170	123470170	lncRNA	XR_006643742.1			
NC_059183.1	420482	432848	LG2	minus	uncharacterized protein LOC123466337	LOC123466337	123466337	protein-coding	XM_045170021.1	XP_045025956.1	1586	
NC_059183.1	438767	442163	LG2	minus	glutamate receptor ionotropic, delta-1-like	LOC123466408	123466408	protein-coding	XM_045170024.1	XP_045025959.1	446	
NC_059183.1	442379	445935	LG2	plus	papilin	LOC116915424	116915424	protein-coding	XM_032920557.2	XP_032776448.2	552	
NC_059183.1	446623	447436	LG2	minus	uncharacterized LOC123470172	LOC123470172	123470172	lncRNA	XR_006643748.1			
NC_059183.1	447522	453342	LG2	plus	papilin	LOC116915354	116915354	protein-coding	XM_032920452.2	XP_032776343.2	1124	
NC_059183.1	455916	458406	LG2	minus	LOW QUALITY PROTEIN: ionotropic receptor 93a	LOC116915405	116915405	protein-coding	XM_032920522.2	XP_032776413.2	463	
NC_059183.1	459009	461689	LG2	minus	glutamate receptor ionotropic, delta-1	LOC116915400	116915400	protein-coding	XM_045170031.1	XP_045025966.1	474	
NC_059183.1	462740	464518	LG2	plus	synaptic vesicle membrane protein VAT-1 homolog isoform X1	LOC116915427	116915427	protein-coding	XM_032920561.2	XP_032776452.1	345	
NC_059183.1	465459	468759	LG2	plus	uncharacterized protein LOC116915550	LOC116915550	116915550	protein-coding	XM_045168674.1	XP_045024609.1	111	
NC_059183.1	469081	470854	LG2	minus	uncharacterized LOC116915549, transcript variant X2	LOC116915549	116915549	lncRNA	XR_004390071.2			
NC_059183.1	471116	477116	LG2	minus	uncharacterized LOC116915547, transcript variant X15	LOC116915547	116915547	lncRNA	XR_004390059.2			
NC_059183.1	478604	479591	LG2	minus	LOW QUALITY PROTEIN: endocuticle structural glycoprotein SgAbd-5	LOC116915539	116915539	protein-coding	XM_032920699.2	XP_032776590.1	104	
NC_059183.1	484579	485624	LG2	plus	cuticle protein CP14.6	LOC116915495	116915495	protein-coding	XM_045170280.1	XP_045026215.1	153	
NC_059183.1	488979	489758	LG2	plus	larval cuticle protein LCP-22	LOC116917161	116917161	protein-coding	XM_032922531.2	XP_032778422.1	129	
NC_059183.1	492695	493863	LG2	plus	LOW QUALITY PROTEIN: larval cuticle protein LCP-22	LOC116915512	116915512	protein-coding	XM_032920671.2	XP_032776562.1	131	
NC_059183.1	500865	502120	LG2	plus	LOW QUALITY PROTEIN: fibrous sheath CABYR-binding protein	LOC116915422	116915422	protein-coding	XM_032920552.2	XP_032776443.2	317	
NC_059183.1	502860	503780	LG2	plus	endocuticle structural glycoprotein SgAbd-1	LOC116917162	116917162	protein-coding	XM_032922532.2	XP_032778423.2	176	
NC_059183.1	504165	505780	LG2	plus	uncharacterized protein KIAA0754	LOC116915372	116915372	protein-coding	XM_032920479.2	XP_032776370.2	449	
NC_059183.1	505755	507064	LG2	plus	uncharacterized protein LOC123470248	LOC123470248	123470248	protein-coding	XM_045170308.1	XP_045026243.1	334	
NC_059183.1	507230	517168	LG2	minus	larval cuticle protein LCP-22 isoform X1	LOC116915524	116915524	protein-coding	XM_032920683.2	XP_032776574.1	126	
NC_059183.1	508731	542160	LG2	minus	larval cuticle protein LCP-22 isoform X1	LOC116915525	116915525	protein-coding	XM_032920685.2	XP_032776576.1	126	
NC_059183.1	508731	509513	LG2	minus	larval cuticle protein LCP-22	LOC116915514	116915514	protein-coding	XM_032920673.2	XP_032776564.1	127	
NC_059183.1	510310	511006	LG2	minus	LOW QUALITY PROTEIN: larval cuticle protein LCP-22	LOC116915526	116915526	protein-coding	XM_032920687.2	XP_032776578.2	126	
NC_059183.1	511723	515564	LG2	minus	larval cuticle protein LCP-22 isoform X1	LOC116915517	116915517	protein-coding	XM_032920677.2	XP_032776568.2	127	
NC_059183.1	517991	518764	LG2	minus	larval cuticle protein 1	LOC116915487	116915487	protein-coding	XM_032920644.2	XP_032776535.2	171	
NC_059183.1	521306	522044	LG2	minus	LOW QUALITY PROTEIN: larval cuticle protein LCP-22-like	LOC123469739	123469739	protein-coding	XM_045168993.1	XP_045024928.1	127	
NC_059183.1	522792	523605	LG2	minus	LOW QUALITY PROTEIN: larval cuticle protein 1-like	LOC123466339	123466339	protein-coding	XM_045169008.1	XP_045024943.1	126	
NC_059183.1	524391	525192	LG2	minus	LOW QUALITY PROTEIN: larval cuticle protein 1	LOC116915529	116915529	protein-coding	XM_032920690.2	XP_032776581.2	171	
NC_059183.1	526085	526869	LG2	minus	larval cuticle protein LCP-22	LOC116915530	116915530	protein-coding	XM_032920691.2	XP_032776582.2	126	
NC_059183.1	527735	534666	LG2	minus	larval cuticle protein LCP-22 isoform X1	LOC116915492	116915492	protein-coding	XM_032920650.2	XP_032776541.2	127	
NC_059183.1	529222	529967	LG2	minus	LOW QUALITY PROTEIN: larval cuticle protein 1	LOC116915475	116915475	protein-coding	XM_045169007.1	XP_045024942.1	126	
NC_059183.1	532183	536008	LG2	minus	larval cuticle protein LCP-22-like isoform X1	LOC123469741	123469741	protein-coding	XM_045168997.1	XP_045024932.1	126	
NC_059183.1	532183	532962	LG2	minus	larval cuticle protein LCP-22	LOC116915521	116915521	protein-coding	XM_032920681.2	XP_032776572.1	126	
NC_059183.1	536735	537557	LG2	minus	larval cuticle protein LCP-22-like	LOC123469740	123469740	protein-coding	XM_045168996.1	XP_045024931.1	126	
NC_059183.1	538239	539039	LG2	minus	larval cuticle protein LCP-22	LOC116915518	116915518	protein-coding	XM_032920678.2	XP_032776569.2	127	
NC_059183.1	539694	545242	LG2	minus	larval cuticle protein LCP-22 isoform X2	LOC116915528	116915528	protein-coding	XM_032920689.2	XP_032776580.1	126	
NC_059183.1	542898	543684	LG2	minus	larval cuticle protein LCP-22	LOC116915527	116915527	protein-coding	XM_032920688.2	XP_032776579.1	126	
NC_059183.1	546052	546838	LG2	minus	endocuticle structural glycoprotein SgAbd-3	LOC116915522	116915522	protein-coding	XM_032920682.2	XP_032776573.1	126	
NC_059183.1	547655	549878	LG2	minus	larval cuticle protein LCP-22 isoform X1	LOC116915515	116915515	protein-coding	XM_032920674.2	XP_032776565.1	127	
NC_059183.1	552606	553440	LG2	minus	larval cuticle protein LCP-22	LOC116915520	116915520	protein-coding	XM_032920680.2	XP_032776571.1	126	
NC_059183.1	558007	561228	LG2	plus	uncharacterized LOC116915553, transcript variant X10	LOC116915553	116915553	lncRNA	XR_006643071.1			
NC_059183.1	561637	563788	LG2	minus	uncharacterized LOC116915569, transcript variant X5	LOC116915569	116915569	lncRNA	XR_006643081.1			
NC_059183.1	566657	567599	LG2	plus	larval cuticle protein 65Ag1	LOC116915484	116915484	protein-coding	XM_032920642.2	XP_032776533.1	172	
NC_059183.1	568400	569324	LG2	plus	larval cuticle protein 65Ag1	LOC116915489	116915489	protein-coding	XM_032920647.2	XP_032776538.2	170	
NC_059183.1	569992	570876	LG2	plus	larval cuticle protein 65Ag1	LOC116915486	116915486	protein-coding	XM_032920643.2	XP_032776534.1	172	
NC_059183.1	571260	572015	LG2	plus	uncharacterized protein LOC116915541	LOC116915541	116915541	protein-coding	XM_032920701.2	XP_032776592.1	94	
NC_059183.1	572759	573816	LG2	plus	larval cuticle protein 65Ag1	LOC116915482	116915482	protein-coding	XM_032920640.2	XP_032776531.2	172	
NC_059183.1	574558	575489	LG2	plus	larval cuticle protein 65Ag1	LOC116915483	116915483	protein-coding	XM_032920641.2	XP_032776532.1	172	
NC_059183.1	576431	577339	LG2	plus	cuticle protein 3-like	LOC123466260	123466260	protein-coding	XM_032920615.2	XP_032776506.1	196	
NC_059183.1	578353	579318	LG2	minus	larval cuticle protein 65Ag1	LOC116915473	116915473	protein-coding	XM_032920630.2	XP_032776521.2	188	
NC_059183.1	580719	581621	LG2	minus	larval cuticle protein 65Ag1	LOC116915494	116915494	protein-coding	XM_045169018.1	XP_045024953.1	170	
NC_059183.1	582632	583523	LG2	plus	larval cuticle protein 65Ag1	LOC116915462	116915462	protein-coding	XM_032920619.2	XP_032776510.1	156	
NC_059183.1	584122	584910	LG2	minus	cuticle protein CP14.6	LOC116915501	116915501	protein-coding	XM_032920658.2	XP_032776549.1	145	
NC_059183.1	586090	590037	LG2	minus	pupal cuticle protein Edg-78E isoform X1	LOC116915478	116915478	protein-coding	XM_032920633.2	XP_032776524.2	183	
NC_059183.1	587526	588492	LG2	plus	larval cuticle protein 2-like	LOC123466265	123466265	protein-coding	XM_032920616.2	XP_032776507.2	190	
NC_059183.1	590652	591597	LG2	plus	endocuticle structural glycoprotein SgAbd-1	LOC116915451	116915451	protein-coding	XM_032920598.2	XP_032776489.2	227	
NC_059183.1	592488	593407	LG2	plus	endocuticle structural glycoprotein SgAbd-1	LOC116915474	116915474	protein-coding	XM_045169014.1	XP_045024949.1	204	
NC_059183.1	595164	596154	LG2	minus	larval cuticle protein 65Ag1-like	LOC116915480	116915480	transcribed_pseudogene	XR_004390049.2			
NC_059183.1	597156	601860	LG2	minus	cuticle protein CP14.6 isoform X1	LOC116915504	116915504	protein-coding	XM_032920661.2	XP_032776552.2	140	
NC_059183.1	598294	599661	LG2	minus	pupal cuticle protein Edg-78E	LOC116915503	116915503	protein-coding	XM_032920660.2	XP_032776551.1	142	
NC_059183.1	603961	604881	LG2	minus	cuticle protein CP14.6	LOC116915500	116915500	protein-coding	XM_032920657.2	XP_032776548.1	145	
NC_059183.1	605804	606731	LG2	minus	cuticle protein CP14.6	LOC116917167	116917167	protein-coding	XM_032922537.2	XP_032778428.1	142	
NC_059183.1	609438	613989	LG2	plus	uncharacterized LOC116915566	LOC116915566	116915566	lncRNA	XR_006643087.1			
NC_059183.1	611287	616315	LG2	minus	uncharacterized protein LOC116933504	LOC116933504	116933504	protein-coding	XM_045169015.1	XP_045024950.1	203	
NC_059183.1	620827	622720	LG2	plus	uncharacterized protein LOC116915444	LOC116915444	116915444	protein-coding	XM_032920588.2	XP_032776479.2	275	
NC_059183.1	622571	626123	LG2	minus	uncharacterized protein LOC116915387 isoform X1	LOC116915387	116915387	protein-coding	XM_032920501.2	XP_032776392.2	556	
NC_059183.1	627013	630290	LG2	plus	uncharacterized LOC116915586	LOC116915586	116915586	lncRNA	XR_006643089.1			
NC_059183.1	630903	634461	LG2	plus	uncharacterized protein LOC116915456	LOC116915456	116915456	protein-coding	XM_032920605.2	XP_032776496.2	209	
NC_059183.1	634316	635785	LG2	minus	uncharacterized LOC116915576	LOC116915576	116915576	lncRNA	XR_006643088.1			
NC_059183.1	636391	637404	LG2	plus	uncharacterized protein LOC116915448	LOC116915448	116915448	protein-coding	XM_032920596.2	XP_032776487.2	242	
NC_059183.1	638174	638912	LG2	plus	uncharacterized protein LOC116915497	LOC116915497	116915497	protein-coding	XM_032920654.2	XP_032776545.2	147	
NC_059183.1	640741	641846	LG2	plus	uncharacterized protein LOC116915464	LOC116915464	116915464	protein-coding	XM_032920620.2	XP_032776511.2	196	
NC_059183.1	642094	642976	LG2	minus	cuticle protein CP14.6	LOC116915488	116915488	protein-coding	XM_032920645.2	XP_032776536.2	170	
NC_059183.1	657211	665640	LG2	plus	mucin-2	LOC116915339	116915339	protein-coding	XM_045169021.1	XP_045024956.1	1751	
NC_059183.1	668736	669570	LG2	plus	uncharacterized protein LOC116915481	LOC116915481	116915481	protein-coding	XM_032920639.2	XP_032776530.2	175	
NC_059183.1	671000	672081	LG2	plus	uncharacterized protein LOC116915453	LOC116915453	116915453	protein-coding	XM_032920600.2	XP_032776491.2	227	
NC_059183.1	673922	675227	LG2	plus	skin secretory protein xP2	LOC116915438	116915438	protein-coding	XM_045169424.1	XP_045025359.1	268	
NC_059183.1	677169	678599	LG2	plus	uncharacterized protein LOC116915426	LOC116915426	116915426	protein-coding	XM_032920560.2	XP_032776451.2	358	
NC_059183.1	678850	681568	LG2	minus	putative gustatory receptor 28b isoform X2	LOC116915418	116915418	protein-coding	XM_032920544.2	XP_032776435.2	391	
NC_059183.1	682022	682094	LG2	minus	tRNA-Val	Trnav-cac	116918097	tRNA				
NC_059183.1	686991	689059	LG2	plus	uncharacterized protein LOC123470253	LOC123470253	123470253	protein-coding	XM_045170322.1	XP_045026257.1	392	
NC_059183.1	689325	691081	LG2	plus	putative gustatory receptor 28a	LOC116915414	116915414	protein-coding	XM_032920538.2	XP_032776429.2	409	
NC_059183.1	691561	693462	LG2	plus	uncharacterized protein LOC116915416	LOC116915416	116915416	protein-coding	XM_045170323.1	XP_045026258.1	391	
NC_059183.1	693586	694649	LG2	plus	calphotin-like isoform X1	LOC123469992	123469992	protein-coding	XM_045169425.1	XP_045025360.1	243	
NC_059183.1	694941	696990	LG2	plus	uncharacterized LOC116934016, transcript variant X2	LOC116934016	116934016	lncRNA	XR_006643338.1			
NC_059183.1	695586	695668	LG2	minus	tRNA-Leu	Trnal-uaa	116934017	tRNA				
NC_059183.1	697172	698314	LG2	plus	calphotin	LOC116934015	116934015	protein-coding	XM_032941652.2	XP_032797543.2	231	
NC_059183.1	698949	699942	LG2	minus	uncharacterized protein LOC116915452	LOC116915452	116915452	protein-coding	XM_032920599.2	XP_032776490.2	226	
NC_059183.1	702467	714404	LG2	minus	calphotin isoform X1	LOC116915401	116915401	protein-coding	XM_045169428.1	XP_045025363.1	432	
NC_059183.1	704624	705964	LG2	minus	uncharacterized protein LOC116915449	LOC116915449	116915449	protein-coding	XM_032920597.2	XP_032776488.1	240	
NC_059183.1	707380	707996	LG2	minus	uncharacterized protein LOC116915537	LOC116915537	116915537	protein-coding	XM_032920697.2	XP_032776588.2	106	
NC_059183.1	709503	710165	LG2	plus	uncharacterized protein LOC116915536	LOC116915536	116915536	protein-coding	XM_032920696.2	XP_032776587.2	106	
NC_059183.1	710750	711389	LG2	minus	uncharacterized protein LOC116915534	LOC116915534	116915534	protein-coding	XM_032920694.2	XP_032776585.2	141	
NC_059183.1	711421	711844	LG2	plus	uncharacterized LOC116915591	LOC116915591	116915591	lncRNA	XR_004390166.2			
NC_059183.1	715461	716057	LG2	plus	uncharacterized protein LOC116915538	LOC116915538	116915538	protein-coding	XM_032920698.2	XP_032776589.2	106	
NC_059183.1	716227	717073	LG2	minus	uncharacterized protein LOC123469994	LOC123469994	123469994	protein-coding	XM_045169433.1	XP_045025368.1	249	
NC_059183.1	717518	718450	LG2	minus	endocuticle structural glycoprotein ABD-4	LOC116915467	116915467	protein-coding	XM_032920623.2	XP_032776514.2	192	
NC_059183.1	718940	719777	LG2	plus	uncharacterized protein LOC116915471	LOC116915471	116915471	protein-coding	XM_045170324.1	XP_045026259.1	170	
NC_059183.1	723238	723711	LG2	plus	larval cuticle protein III/IV-like	LOC123469996	123469996	protein-coding	XM_045169440.1	XP_045025375.1	81	
NC_059183.1	726546	727414	LG2	minus	endocuticle structural glycoprotein ABD-4	LOC116915457	116915457	protein-coding	XM_032920606.2	XP_032776497.2	167	
NC_059183.1	727976	728824	LG2	plus	LOW QUALITY PROTEIN: endocuticle structural glycoprotein SgAbd-1	LOC116915472	116915472	protein-coding	XM_032920628.2	XP_032776519.2	190	
NC_059183.1	729689	730645	LG2	plus	endocuticle structural glycoprotein SgAbd-1	LOC116915470	116915470	protein-coding	XM_032920626.2	XP_032776517.1	189	
NC_059183.1	732922	733280	LG2	minus	pupal cuticle protein Edg-78E-like	LOC123469995	123469995	protein-coding	XM_045169439.1	XP_045025374.1	89	
NC_059183.1	734405	735244	LG2	plus	endocuticle structural glycoprotein SgAbd-3	LOC116915455	116915455	protein-coding	XM_045170330.1	XP_045026265.1	172	
NC_059183.1	735903	738622	LG2	plus	uncharacterized protein LOC116915454	LOC116915454	116915454	protein-coding	XM_045169435.1	XP_045025370.1	213	
NC_059183.1	739591	749890	LG2	plus	uncharacterized LOC116934249	LOC116934249	116934249	lncRNA	XR_006643350.1			
NC_059183.1	739774	740718	LG2	minus	uncharacterized LOC123469998	LOC123469998	123469998	lncRNA	XR_006643355.1			
NC_059183.1	750080	755936	LG2	plus	LOW QUALITY PROTEIN: ankyrin repeat domain-containing protein 50	LOC116915346	116915346	protein-coding	XM_032920444.2	XP_032776335.2	1583	
NC_059183.1	755964	757512	LG2	minus	28S ribosomal protein S35, mitochondrial	LOC116915432	116915432	protein-coding	XM_032920570.2	XP_032776461.2	333	
NC_059183.1	758427	760017	LG2	plus	uncharacterized LOC116915563, transcript variant X2	LOC116915563	116915563	lncRNA	XR_004390117.2			
NC_059183.1	760758	762568	LG2	minus	uncharacterized LOC116915554, transcript variant X3	LOC116915554	116915554	lncRNA	XR_004390090.2			
NC_059183.1	763139	765962	LG2	minus	high-affinity choline transporter 1	LOC116915397	116915397	protein-coding	XM_032920514.2	XP_032776405.2	595	
NC_059183.1	765779	773527	LG2	minus	protein MMS22-like	LOC116915358	116915358	protein-coding	XM_032920456.2	XP_032776347.2	1119	
NC_059183.1	773573	775067	LG2	minus	uncharacterized protein LOC123469997	LOC123469997	123469997	protein-coding	XM_045169441.1	XP_045025376.1	76	
NC_059183.1	776469	778046	LG2	minus	uncharacterized LOC116915562, transcript variant X4	LOC116915562	116915562	lncRNA	XR_004390114.2			
NC_059183.1	777008	777090	LG2	plus	tRNA-Leu	Trnal-uaa	116918112	tRNA				
NC_059183.1	778175	779006	LG2	plus	uncharacterized protein LOC116915491	LOC116915491	116915491	protein-coding	XM_032920649.2	XP_032776540.2	168	
NC_059183.1	780772	781667	LG2	plus	uncharacterized protein LOC116915493	LOC116915493	116915493	protein-coding	XM_032920651.2	XP_032776542.2	162	
NC_059183.1	783426	785165	LG2	minus	LOW QUALITY PROTEIN: ankyrin-1-like	LOC123469773	123469773	protein-coding	XM_045169058.1	XP_045024993.1	340	
NC_059183.1	785141	786644	LG2	minus	potassium channel GORK-like	LOC116915355	116915355	protein-coding	XM_045169059.1	XP_045024994.1	250	
NC_059183.1	787886	789837	LG2	minus	uncharacterized gene	LOC123469989	123469989	pseudogene				
NC_059183.1	791149	794403	LG2	minus	uncharacterized LOC116915393	LOC116915393	116915393	misc_RNA	XR_006643145.1			
NC_059183.1	795096	795591	LG2	plus	uncharacterized LOC123469734	LOC123469734	123469734	lncRNA	XR_006643047.1			
NC_059183.1	797261	798785	LG2	plus	uncharacterized protein LOC116917593	LOC116917593	116917593	protein-coding	XM_032923114.2	XP_032779005.1	89	
NC_059183.1	798709	800524	LG2	minus	uncharacterized protein LOC116917592 isoform X1	LOC116917592	116917592	protein-coding	XM_032923112.2	XP_032779003.2	379	
NC_059183.1	800747	804008	LG2	minus	uncharacterized protein LOC116917591 isoform X1	LOC116917591	116917591	protein-coding	XM_032923110.2	XP_032779001.2	626	
NC_059183.1	807127	809146	LG2	minus	uncharacterized protein LOC116917590 isoform X1	LOC116917590	116917590	protein-coding	XM_032923108.2	XP_032778999.2	435	
NC_059183.1	810198	811429	LG2	minus	probable serine/threonine-protein kinase DDB_G0268876	LOC116917589	116917589	protein-coding	XM_032923107.2	XP_032778998.2	252	
NC_059183.1	816100	817427	LG2	plus	uncharacterized protein LOC116917808	LOC116917808	116917808	protein-coding	XM_032923403.2	XP_032779294.2	283	
NC_059183.1	818465	823625	LG2	minus	LOW QUALITY PROTEIN: uncharacterized protein LOC116917809	LOC116917809	116917809	protein-coding	XM_045170281.1	XP_045026216.1	1018	
NC_059183.1	824597	826422	LG2	plus	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like protein 1	LOC116917807	116917807	protein-coding	XM_032923402.2	XP_032779293.2	353	
NC_059183.1	826283	828259	LG2	minus	coilin	LOC116917806	116917806	protein-coding	XM_032923401.2	XP_032779292.1	481	
NC_059183.1	829174	832958	LG2	plus	glutamate receptor ionotropic, kainate 2	LOC116916078	116916078	protein-coding	XM_032921264.2	XP_032777155.2	568	
NC_059183.1	837985	848237	LG2	plus	TNF receptor-associated factor 4 isoform X1	LOC116917410	116917410	protein-coding	XM_032922870.2	XP_032778761.1	452	
NC_059183.1	848329	860036	LG2	minus	paxillin isoform X1	LOC116917408	116917408	protein-coding	XM_032922862.2	XP_032778753.2	527	
NC_059183.1	858482	859370	LG2	plus	uncharacterized LOC123469732	LOC123469732	123469732	lncRNA	XR_006643046.1			
NC_059183.1	860075	865101	LG2	plus	LOW QUALITY PROTEIN: 39S ribosomal protein L16, mitochondrial	LOC116917412	116917412	protein-coding	XM_032922874.2	XP_032778765.2	335	
NC_059183.1	865092	865839	LG2	minus	huntingtin-interacting protein K	LOC116917411	116917411	protein-coding	XM_032922873.2	XP_032778764.1	116	
NC_059183.1	865957	869217	LG2	plus	LOW QUALITY PROTEIN: putative glycerol kinase 5	LOC116917835	116917835	protein-coding	XM_045168948.1	XP_045024883.1	528	
NC_059183.1	870070	871717	LG2	plus	trichohyalin	LOC116917837	116917837	protein-coding	XM_032923434.2	XP_032779325.1	428	
NC_059183.1	872427	873918	LG2	plus	store-operated calcium entry regulator STIMATE	LOC116917842	116917842	protein-coding	XM_032923441.2	XP_032779332.1	287	
NC_059183.1	874054	876618	LG2	minus	LOW QUALITY PROTEIN: uncharacterized protein LOC116917836	LOC116917836	116917836	protein-coding	XM_032923433.2	XP_032779324.2	502	
NC_059183.1	877467	878097	LG2	minus	U7 snRNA-associated Sm-like protein LSm10	LOC116917847	116917847	protein-coding	XM_032923449.2	XP_032779340.1	150	
NC_059183.1	878710	879461	LG2	plus	uncharacterized LOC116917841	LOC116917841	116917841	misc_RNA	XR_006643045.1			
NC_059183.1	881705	889032	LG2	plus	phosphofurin acidic cluster sorting protein 2 isoform X1	LOC116917829	116917829	protein-coding	XM_032923419.2	XP_032779310.2	1129	
NC_059183.1	888259	889458	LG2	minus	uncharacterized LOC116917851	LOC116917851	116917851	lncRNA	XR_004391272.2			
NC_059183.1	889626	892942	LG2	plus	alpha,alpha-trehalose-phosphate synthase [UDP-forming] 2	LOC116917833	116917833	protein-coding	XM_045168947.1	XP_045024882.1	812	
NC_059183.1	893422	895692	LG2	plus	uncharacterized protein LOC116917843	LOC116917843	116917843	protein-coding	XM_032923442.2	XP_032779333.2	272	
NC_059183.1	895776	897849	LG2	minus	aquaporin-9	LOC116917838	116917838	protein-coding	XM_032923435.2	XP_032779326.1	358	
NC_059183.1	898752	900862	LG2	minus	aquaporin-3	LOC116917840	116917840	protein-coding	XM_032923436.2	XP_032779327.2	320	
NC_059183.1	900463	906283	LG2	plus	aminopeptidase N	LOC116917831	116917831	protein-coding	XM_032923424.2	XP_032779315.2	977	
